,交易日期,bob,eob,bond_code,转债_1m_收盘价,转债_1m_成交额,转债_1m_成交均价,转债_1m_成交量,stk_code,正股_1m_收盘价,正股_1m_成交额,正股_1m_成交均价,正股_1m_成交量,转股价格,溢价率
0,2025-07-04,2025-07-04 09:30:00+08:00,2025-07-04 09:31:00+08:00,127109,130.0,6868550.0,130.0,52835,002125,14.05,41801249.0,14.084927892715143,2967800,10.1,-6.78
1,2025-07-04,2025-07-04 14:57:00+08:00,2025-07-04 14:58:00+08:00,127109,143.0,51844793.0,143.0,362551,002125,13.6,374572.0,13.6208,27500,10.1,6.04
2,2025-07-04,2025-07-04 14:59:00+08:00,2025-07-04 15:00:00+08:00,127109,157.0,80062150.0,157.0,509950,002125,13.59,9602694.0,13.59,706600,10.1,16.68
3,2025-07-07,2025-07-07 09:30:00+08:00,2025-07-07 09:31:00+08:00,127109,150.991,71080468.962,150.87006319181043,471137,002125,13.58,27074119.0,13.647605101320698,1983800,10.1,11.65
4,2025-07-07,2025-07-07 09:31:00+08:00,2025-07-07 09:32:00+08:00,127109,150.3,25279207.955,150.32741215263943,168161,002125,13.64,6208501.0,13.61812020179864,455900,10.1,11.49
5,2025-07-07,2025-07-07 09:32:00+08:00,2025-07-07 09:33:00+08:00,127109,152.642,33309993.853,152.4296487527857,218527,002125,13.64,6721078.0,13.638551136363636,492800,10.1,12.88
6,2025-07-07,2025-07-07 09:33:00+08:00,2025-07-07 09:34:00+08:00,127109,152.392,22341606.94700001,153.02051277362273,146004,002125,13.65,8443962.0,13.663368932038836,618000,10.1,13.11
7,2025-07-07,2025-07-07 09:34:00+08:00,2025-07-07 09:35:00+08:00,127109,153.044,24093954.70999998,152.91632369274498,157563,002125,13.66,4248529.0,13.660864951768488,311000,10.1,13.06
8,2025-07-07,2025-07-07 09:35:00+08:00,2025-07-07 09:36:00+08:00,127109,152.244,12580263.576000003,152.72314442839283,82373,002125,13.65,7049457.0,13.640590170278637,516800,10.1,13.08
9,2025-07-07,2025-07-07 09:36:00+08:00,2025-07-07 09:37:00+08:00,127109,151.86,13051855.34800002,151.9353621251632,85904,002125,13.7,4529305.0,13.667184671092336,331400,10.1,12.28
10,2025-07-07,2025-07-07 09:37:00+08:00,2025-07-07 09:38:00+08:00,127109,151.763,9753173.873999983,151.70120503328536,64292,002125,13.67,6993591.0,13.686088062622309,511000,10.1,11.95
11,2025-07-07,2025-07-07 09:38:00+08:00,2025-07-07 09:39:00+08:00,127109,151.168,9590029.152999995,151.77699063068758,63185,002125,13.64,7335729.0,13.645329241071428,537600,10.1,12.34
12,2025-07-07,2025-07-07 09:39:00+08:00,2025-07-07 09:40:00+08:00,127109,150.61,9696979.273000002,150.8881721750226,64266,002125,13.64,4059002.0,13.65288261015809,297300,10.1,11.62
13,2025-07-07,2025-07-07 09:40:00+08:00,2025-07-07 09:41:00+08:00,127109,150.39,14697855.707000015,150.51413407952828,97651,002125,13.63,7027056.0,13.618325581395348,516000,10.1,11.63
14,2025-07-07,2025-07-07 09:41:00+08:00,2025-07-07 09:42:00+08:00,127109,150.07,16325130.761999996,150.0402625063186,108805,002125,13.7,6211857.0,13.652432967032967,455000,10.1,11.0
15,2025-07-07,2025-07-07 09:42:00+08:00,2025-07-07 09:43:00+08:00,127109,149.706,10397732.654999971,149.76928563197654,69425,002125,13.72,4066303.0,13.705099427030671,296700,10.1,10.37
16,2025-07-07,2025-07-07 09:43:00+08:00,2025-07-07 09:44:00+08:00,127109,150.34,9132935.050000012,150.08931881676273,60850,002125,13.73,6319041.0,13.734059986959357,460100,10.1,10.38
17,2025-07-07,2025-07-07 09:44:00+08:00,2025-07-07 09:45:00+08:00,127109,150.01,7431381.085000038,150.15924600929557,49490,002125,13.72,6554529.0,13.71527306967985,477900,10.1,10.58
18,2025-07-07,2025-07-07 09:45:00+08:00,2025-07-07 09:46:00+08:00,127109,149.42,9217833.569999993,149.70820454102503,61572,002125,13.69,6935353.0,13.708940502075508,505900,10.1,10.3
19,2025-07-07,2025-07-07 09:46:00+08:00,2025-07-07 09:47:00+08:00,127109,149.552,7903999.745999992,149.64028296099946,52820,002125,13.68,9722312.0,13.66644925499016,711400,10.1,10.59
20,2025-07-07,2025-07-07 09:47:00+08:00,2025-07-07 09:48:00+08:00,127109,149.1,7565862.513999999,149.37537046396838,50650,002125,13.68,2919978.0,13.676711943793912,213500,10.1,10.31
